Age Band,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sex
Total,66.2,66.1,66.6,66.7,67.0,68.3,68.0,67.7,67.7,68.0,68.1,70.5,Males & Females
15 to 19,15.4,12.3,12.4,11.8,12.3,15.8,15.3,14.2,15.2,15.1,13.8,15.7,Males & Females
20 to 24,65.8,62.8,63.6,61.7,61.8,65.3,62.3,62.2,61.3,61.0,56.0,62.4,Males & Females
25 to 29,89.4,89.2,88.3,88.5,89.0,90.3,90.3,90.2,90.0,90.1,90.4,90.4,Males & Females
30 to 34,89.0,88.6,89.8,90.1,89.9,90.2,90.8,91.8,91.0,92.3,92.3,93.4,Males & Females
35 to 39,86.2,87.3,88.0,88.0,88.8,89.1,89.7,89.8,89.0,89.6,90.4,91.2,Males & Females
40 to 44,84.4,84.9,85.4,85.7,87.1,87.6,88.2,87.7,88.8,88.7,89.0,90.6,Males & Females
45 to 49,82.4,83.7,84.4,84.5,84.7,85.9,86.3,86.8,86.5,87.9,87.4,88.3,Males & Females
50 to 54,78.6,79.7,79.5,80.0,81.8,82.4,81.4,82.8,82.0,82.3,82.2,84.8,Males & Females
55 to 59,68.3,70.2,72.4,73.2,74.3,75.5,75.8,74.9,75.1,75.0,75.9,77.7,Males & Females
60 to 64,51.0,54.7,58.1,59.7,61.2,62.4,62.8,63.6,62.2,63.9,65.0,65.9,Males & Females
65 to 69,30.9,36.2,38.6,40.2,41.2,42.2,43.2,43.4,45.3,46.1,48.7,50.9,Males & Females
70 & Over,11.0,12.5,13.1,14.4,15.3,14.9,15.0,16.2,17.0,17.6,19.4,21.3,Males & Females
70 to 74,18.7,20.4,21.9,24.2,25.7,24.9,26.8,28.0,28.3,28.8,31.0,31.8,Males & Females
75 & Over,5.4,6.4,6.7,7.6,8.4,8.8,8.4,9.1,9.4,9.5,10.2,11.8,Males & Females
Total Males,76.5,75.6,76.0,75.8,75.9,76.7,76.2,76.0,75.6,75.4,75.4,77.2,Males
15 to 19,17.5,14.6,13.8,13.2,14.9,18.3,18.0,18.0,18.4,17.5,16.8,17.6,Males
20 to 24,66.2,63.2,64.5,63.2,63.6,64.4,62.6,62.7,60.3,59.3,54.9,59.0,Males
25 to 29,93.3,91.8,89.9,89.0,89.4,90.9,90.0,90.7,90.7,90.0,89.7,90.2,Males
30 to 34,97.7,97.4,97.2,97.2,97.5,97.4,97.0,97.4,97.8,96.8,96.8,97.0,Males
35 to 39,98.0,97.7,98.2,97.5,97.2,97.5,97.8,97.6,97.2,97.8,97.2,97.4,Males
40 to 44,96.8,97.1,97.1,97.1,96.8,97.1,97.2,97.0,97.2,97.3,97.4,97.1,Males
45 to 49,96.1,96.0,95.6,96.1,96.4,96.9,96.3,96.6,95.4,96.0,96.1,96.3,Males
50 to 54,92.6,93.5,93.8,94.0,93.8,94.2,92.9,94.4,92.8,93.9,93.2,94.2,Males
55 to 59,85.0,85.7,88.5,87.6,87.5,88.2,88.7,88.0,88.0,87.3,87.1,89.5,Males
60 to 64,67.5,71.1,74.6,75.0,77.0,77.2,76.9,77.8,75.7,76.7,77.8,79.2,Males
65 to 69,43.7,49.1,52.6,53.4,54.1,54.5,55.7,54.8,57.3,57.6,59.8,61.1,Males
70 & Over,17.9,20.5,20.7,22.9,23.7,22.3,22.1,24.8,24.6,25.4,27.5,29.7,Males
70 to 74,27.3,31.1,32.1,35.8,37.3,34.5,35.4,39.3,37.3,38.6,40.8,41.3,Males
75 & Over,9.8,11.1,11.5,12.5,13.6,13.8,13.4,14.9,14.4,14.8,14.9,17.2,Males
Total Females,56.5,57.0,57.7,58.1,58.6,60.4,60.4,59.8,60.2,61.1,61.2,64.2,Females
15 to 19,13.1,9.8,10.9,10.2,9.6,13.1,12.4,10.2,11.6,12.4,10.6,13.7,Females
20 to 24,65.3,62.5,62.6,59.9,59.8,66.3,62.0,61.6,62.4,62.9,57.3,66.1,Females
25 to 29,85.7,86.7,86.8,88.0,88.6,89.7,90.6,89.6,89.4,90.1,91.1,90.5,Females
30 to 34,81.3,81.0,83.3,83.7,83.3,83.9,85.3,86.9,84.9,88.3,88.2,90.1,Females
35 to 39,75.2,77.6,78.9,79.4,80.9,81.7,82.3,82.9,81.8,82.7,84.4,85.4,Females
40 to 44,72.7,73.9,74.8,75.4,78.1,78.9,80.2,78.9,81.0,81.2,81.4,84.7,Females
45 to 49,68.9,71.5,73.4,73.1,73.7,75.5,77.2,77.7,78.1,80.3,78.8,80.6,Females
50 to 54,64.9,66.1,65.6,66.5,70.4,70.6,70.3,71.2,71.5,71.3,71.6,76.2,Females
55 to 59,51.7,55.1,56.2,59.1,61.4,62.8,63.1,61.8,62.1,63.3,64.8,66.6,Females
60 to 64,35.4,38.4,41.7,44.2,45.5,47.7,48.8,49.9,49.4,50.8,52.6,53.6,Females
65 to 69,19.1,23.9,26.3,27.9,29.5,31.1,31.4,32.9,33.7,35.3,38.2,40.6,Females
70 & Over,6.0,6.6,7.4,8.0,8.8,9.4,9.8,9.6,11.3,11.5,13.1,14.5,Females
70 to 74,11.3,11.3,13.4,14.1,15.6,16.5,19.3,18.1,20.3,20.4,21.9,22.7,Females
75 & Over,2.7,3.3,3.4,4.2,4.7,5.5,5.1,5.0,6.1,5.8,7.0,7.9,Females
