"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sea (Garena)","SE","76666667008","137.46","Singapore"
"2","DBS","DBSDF","66803122176","25.96","Singapore"
"3","OCBC Bank","O39.SI","39336803946","8.76","Singapore"
"4","UOB","U11.SI","37771333247","22.59","Singapore"
"5","Singtel","SNGNF","31797104640","1.93","Singapore"
"6","Grab Holdings","GRAB","21698322432","5.8","Singapore"
"7","Wilmar","WLMIF","20712491008","3.29","Singapore"
"8","Singapore Airlines","SINGF","11344735232","3.72","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10353324336","1.57","Singapore"
"10","Ascendas Reit","A17U.SI","8686132034","2.07","Singapore"
"11","ST Engineering","SJX.F","8583594842","2.75","Singapore"
"12","Keppel","BN4.SI","8014155752","4.4","Singapore"
"13","Flex","FLEX","7778081792","16.76","Singapore"
"14","Singapore Exchange","SPXCF","7535937536","6.94","Singapore"
"15","Great Eastern","G07.SI","7222826374","15.26","Singapore"
"16","Genting Singapore","G13.SI","6869152257","0.57","Singapore"
"17","Jardine Singapore","C07.SI","6367166264","16.11","Singapore"
"18","BOC Aviation","2588.HK","6284172439","9.05","Singapore"
"19","Mapletree Logistics Trust","M44U.SI","6149735910","1.29","Singapore"
"20","Mapletree Industrial Trust","ME8U.SI","4994783487","1.88","Singapore"
"21","City Developments","C09.SI","4785103044","5.28","Singapore"
"22","Olam","O32.SI","4671968265","1.26","Singapore"
"23","Mapletree Commercial Trust","N2IU.SI","4445378616","1.34","Singapore"
"24","UOL Group","U14.SI","4435951065","5.25","Singapore"
"25","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3846010788","1.04","Singapore"
"26","Suntec REIT","T82U.SI","3444434252","1.21","Singapore"
"27","Sembcorp","U96.SI","3368277177","1.89","Singapore"
"28","SATS","S58.SI","3358272629","2.99","Singapore"
"29","Kulicke and Soffa Industries","KLIC","3343662336","53.67","Singapore"
"30","Keppel REIT","K71U.SI","3100693173","0.84","Singapore"
"31","Kenon Holdings","KEN","2983824640","55.38","Singapore"
"32","Mapletree North Asia Commercial Trust","RW0U.SI","2815670639","0.8","Singapore"
"33","NetLink Trust","CJLU.SI","2778993730","0.71","Singapore"
"34","United Industrial Corporation","U06.SI","2667963568","1.86","Singapore"
"35","ComfortDelGro","C52.SI","2274388173","1.05","Singapore"
"36","TDCX","TDCX","1958596992","13.71","Singapore"
"37","HPH Trust","HCTPF","1917313152","0.22","Singapore"
"38","Yanlord","Z25.SI","1670024125","0.86","Singapore"
"39","Karooooo","KARO","1015196032","32.8","Singapore"
"40","Triterras","TRIT","136441280","1.64","Singapore"
"41","Society Pass","SOPA","58275424","2.51","Singapore"
